Unique.ID,Radar Stations,X,Y,X.Lon,Y.Lat,X.75.N,Y.75.N,X.75.S,Y.75.S,X.75.E,Y.75.E,X.75.W,Y.75.W,X.150.N,Y.150.N,X.150.S,Y.150.S,X.150.E,Y.150.E,X.150.W,Y.150.W
68,KABR,-241786.663,2473273.553,-99.0808405345513,45.2124344179487,-241786.663,2548273.553,-241786.663,2398273.553,-166786.663,2473273.553,-316786.663,2473273.553,-241786.663,2623273.553,-241786.663,2323273.553,-91786.663,2473273.553,-391786.663,2473273.553
69,KABR,-185493.33,2574008.991,-98.3962557674312,46.1334566334389,-185493.33,2649008.991,-185493.33,2499008.991,-110493.33,2574008.991,-260493.33,2574008.991,-185493.33,2724008.991,-185493.33,2424008.991,-35493.33,2574008.991,-335493.33,2574008.991
70,KABR,-164753.681,2488087.588,-98.1038608288775,45.3645001987531,-164753.681,2563087.588,-164753.681,2413087.588,-89753.681,2488087.588,-239753.681,2488087.588,-164753.681,2638087.588,-164753.681,2338087.588,-14753.681,2488087.588,-314753.681,2488087.588
71,KABR,-126237.19,2488087.588,-97.6121241918117,45.3712729832558,-126237.19,2563087.588,-126237.19,2413087.588,-51237.19,2488087.588,-201237.19,2488087.588,-126237.19,2638087.588,-126237.19,2338087.588,23762.81,2488087.588,-276237.19,2488087.588
72,KABR,-161790.874,2488087.588,-98.0660385981162,45.3650848051285,-161790.874,2563087.588,-161790.874,2413087.588,-86790.874,2488087.588,-236790.874,2488087.588,-161790.874,2638087.588,-161790.874,2338087.588,-11790.874,2488087.588,-311790.874,2488087.588
73,KABR,-146976.839,2461422.325,-97.8702174337225,45.1281251142217,-146976.839,2536422.325,-146976.839,2386422.325,-71976.839,2461422.325,-221976.839,2461422.325,-146976.839,2611422.325,-146976.839,2311422.325,3023.161,2461422.325,-296976.839,2461422.325
74,KABR,-188456.137,2491050.395,-98.4073718338924,45.3860825062875,-188456.137,2566050.395,-188456.137,2416050.395,-113456.137,2491050.395,-263456.137,2491050.395,-188456.137,2641050.395,-188456.137,2341050.395,-38456.137,2491050.395,-338456.137,2491050.395
75,KABR,-191418.944,2511790.044,-98.4520368661323,45.5719358947665,-191418.944,2586790.044,-191418.944,2436790.044,-116418.944,2511790.044,-266418.944,2511790.044,-191418.944,2661790.044,-191418.944,2361790.044,-41418.944,2511790.044,-341418.944,2511790.044
76,KABR,-229935.435,2544380.921,-98.958125329007,45.8553508734618,-229935.435,2619380.921,-229935.435,2469380.921,-154935.435,2544380.921,-304935.435,2544380.921,-229935.435,2694380.921,-229935.435,2394380.921,-79935.435,2544380.921,-379935.435,2544380.921
77,KABR,-188456.137,2431794.255,-98.3883524195193,44.8535927942436,-188456.137,2506794.255,-188456.137,2356794.255,-113456.137,2431794.255,-263456.137,2431794.255,-188456.137,2581794.255,-188456.137,2281794.255,-38456.137,2431794.255,-338456.137,2431794.255
78,KABR,-132162.804,2449571.097,-97.6790925022785,45.0241097325559,-132162.804,2524571.097,-132162.804,2374571.097,-57162.804,2449571.097,-207162.804,2449571.097,-132162.804,2599571.097,-132162.804,2299571.097,17837.196,2449571.097,-282162.804,2449571.097
79,KABR,-226972.628,2440682.676,-98.8796208379178,44.9238277135318,-226972.628,2515682.676,-226972.628,2365682.676,-151972.628,2440682.676,-301972.628,2440682.676,-226972.628,2590682.676,-226972.628,2290682.676,-76972.628,2440682.676,-376972.628,2440682.676
80,KABR,-203270.172,2479199.167,-98.5923896321567,45.2760286314919,-203270.172,2554199.167,-203270.172,2404199.167,-128270.172,2479199.167,-278270.172,2479199.167,-203270.172,2629199.167,-203270.172,2329199.167,-53270.172,2479199.167,-353270.172,2479199.167
81,KABR,-224009.821,2529566.886,-98.8761731885091,45.7236600607727,-224009.821,2604566.886,-224009.821,2454566.886,-149009.821,2529566.886,-299009.821,2529566.886,-224009.821,2679566.886,-224009.821,2379566.886,-74009.821,2529566.886,-374009.821,2529566.886
82,KABR,-182530.523,2485124.781,-98.3298524647992,45.3341302583187,-182530.523,2560124.781,-182530.523,2410124.781,-107530.523,2485124.781,-257530.523,2485124.781,-182530.523,2635124.781,-182530.523,2335124.781,-32530.523,2485124.781,-332530.523,2485124.781
83,KABR,-197344.558,2464385.132,-98.5118610768659,45.1443139500164,-197344.558,2539385.132,-197344.558,2389385.132,-122344.558,2464385.132,-272344.558,2464385.132,-197344.558,2614385.132,-197344.558,2314385.132,-47344.558,2464385.132,-347344.558,2464385.132
84,KABR,-158828.067,2473273.553,-98.0241869682816,45.2324667030304,-158828.067,2548273.553,-158828.067,2398273.553,-83828.067,2473273.553,-233828.067,2473273.553,-158828.067,2623273.553,-158828.067,2323273.553,-8828.067,2473273.553,-308828.067,2473273.553
85,KABR,-250675.084,2523641.272,-99.2157206608071,45.6626522247837,-250675.084,2598641.272,-250675.084,2448641.272,-175675.084,2523641.272,-325675.084,2523641.272,-250675.084,2673641.272,-250675.084,2373641.272,-100675.084,2523641.272,-400675.084,2523641.272
86,KABR,-232898.242,2440682.676,-98.9547517763771,44.9221936594095,-232898.242,2515682.676,-232898.242,2365682.676,-157898.242,2440682.676,-307898.242,2440682.676,-232898.242,2590682.676,-232898.242,2290682.676,-82898.242,2440682.676,-382898.242,2440682.676
87,KABR,-185493.33,2434757.062,-98.3517484646728,44.8808653105133,-185493.33,2509757.062,-185493.33,2359757.062,-110493.33,2434757.062,-260493.33,2434757.062,-185493.33,2584757.062,-185493.33,2284757.062,-35493.33,2434757.062,-335493.33,2434757.062
88,KABR,-144014.032,2535492.5,-97.8508807091742,45.7949080066748,-144014.032,2610492.5,-144014.032,2460492.5,-69014.032,2535492.5,-219014.032,2535492.5,-144014.032,2685492.5,-144014.032,2385492.5,5985.968,2535492.5,-294014.032,2535492.5
89,KABR,-224009.821,2556232.149,-98.8865692151728,45.9636892023944,-224009.821,2631232.149,-224009.821,2481232.149,-149009.821,2556232.149,-299009.821,2556232.149,-224009.821,2706232.149,-224009.821,2406232.149,-74009.821,2556232.149,-374009.821,2556232.149
90,KABR,-126237.19,2455496.711,-97.6050952298026,45.0782789214412,-126237.19,2530496.711,-126237.19,2380496.711,-51237.19,2455496.711,-201237.19,2455496.711,-126237.19,2605496.711,-126237.19,2305496.711,23762.81,2455496.711,-276237.19,2455496.711
91,KABR,-191418.944,2422905.834,-98.4230132253549,44.773103384494,-191418.944,2497905.834,-191418.944,2347905.834,-116418.944,2422905.834,-266418.944,2422905.834,-191418.944,2572905.834,-191418.944,2272905.834,-41418.944,2422905.834,-341418.944,2422905.834
92,KABR,-144014.032,2523641.272,-97.8479193587,45.6882289509492,-144014.032,2598641.272,-144014.032,2448641.272,-69014.032,2523641.272,-219014.032,2523641.272,-144014.032,2673641.272,-144014.032,2373641.272,5985.968,2523641.272,-294014.032,2523641.272
93,KABR,-138088.418,2446608.29,-97.7536645589685,44.996526451949,-138088.418,2521608.29,-138088.418,2371608.29,-63088.418,2446608.29,-213088.418,2446608.29,-138088.418,2596608.29,-138088.418,2296608.29,11911.582,2446608.29,-288088.418,2446608.29
94,KABR,-226972.628,2541418.114,-98.9188625235163,45.8295064735077,-226972.628,2616418.114,-226972.628,2466418.114,-151972.628,2541418.114,-301972.628,2541418.114,-226972.628,2691418.114,-226972.628,2391418.114,-76972.628,2541418.114,-376972.628,2541418.114
95,KABR,-152902.453,2455496.711,-97.9440554653386,45.0738037577964,-152902.453,2530496.711,-152902.453,2380496.711,-77902.453,2455496.711,-227902.453,2455496.711,-152902.453,2605496.711,-152902.453,2305496.711,-2902.453,2455496.711,-302902.453,2455496.711
96,KABR,-200307.365,2485124.781,-98.5566546634374,45.3300202796557,-200307.365,2560124.781,-200307.365,2410124.781,-125307.365,2485124.781,-275307.365,2485124.781,-200307.365,2635124.781,-200307.365,2335124.781,-50307.365,2485124.781,-350307.365,2485124.781
97,KABR,-250675.084,2482161.974,-99.1978223238021,45.2896750493931,-250675.084,2557161.974,-250675.084,2407161.974,-175675.084,2482161.974,-325675.084,2482161.974,-250675.084,2632161.974,-250675.084,2332161.974,-100675.084,2482161.974,-400675.084,2482161.974
98,KABR,-188456.137,2547343.728,-98.4257229332712,45.8926053427692,-188456.137,2622343.728,-188456.137,2472343.728,-113456.137,2547343.728,-263456.137,2547343.728,-188456.137,2697343.728,-188456.137,2397343.728,-38456.137,2547343.728,-338456.137,2547343.728
99,KABR,-185493.33,2482161.974,-98.3667131284273,45.306834151211,-185493.33,2557161.974,-185493.33,2407161.974,-110493.33,2482161.974,-260493.33,2482161.974,-185493.33,2632161.974,-185493.33,2332161.974,-35493.33,2482161.974,-335493.33,2482161.974
100,KABX,-988414.027,1368146.542,-106.923998718689,34.8612266442546,-988414.027,1443146.542,-988414.027,1293146.542,-913414.027,1368146.542,-1063414.027,1368146.542,-988414.027,1518146.542,-988414.027,1218146.542,-838414.027,1368146.542,-1138414.027,1368146.542
